i	r_history	group_cnt	stability	avg_retention	avg_interval	last_stability	factor	last_recall
2	1	3379	0.2	0.642	1.1	0.0	inf	1
3	1,1	1250	0.3	0.684	1.4	0.2	1.5	1
4	1,1,1	473	0.3	0.672	2.0	0.3	1.0	1
5	1,1,1,1	189	0.3	0.642	2.2	0.3	1.0	1
5	1,1,1,3	257	1.0	0.661	5.2	0.3	3.33	3
6	1,1,1,3,3	154	2.5	0.619	18.5	1.0	2.5	3
4	1,1,3	731	1.3	0.697	4.6	0.3	4.33	3
5	1,1,3,1	223	0.9	0.789	2.3	1.3	0.69	1
6	1,1,3,1,3	165	2.8	0.784	8.4	0.9	3.11	3
7	1,1,3,1,3,3	120	2.7	0.611	24.5	2.8	0.96	3
5	1,1,3,3	475	2.8	0.58	18.0	1.3	2.15	3
6	1,1,3,3,1	172	2.5	0.804	6.1	2.8	0.89	1
7	1,1,3,3,1,3	127	5.8	0.788	19.7	2.5	2.32	3
6	1,1,3,3,3	276	10.2	0.695	61.5	2.8	3.64	3
7	1,1,3,3,3,3	154	67.2	0.86	81.7	10.2	6.59	3
3	1,2	132	1.0	0.762	2.6	0.2	5.0	2
3	1,3	1981	1.6	0.764	4.2	0.2	8.0	3
4	1,3,1	471	1.5	0.87	2.2	1.6	0.94	1
5	1,3,1,3	363	2.9	0.781	7.9	1.5	1.93	3
6	1,3,1,3,3	262	7.0	0.707	28.2	2.9	2.41	3
7	1,3,1,3,3,3	179	19.1	0.773	70.1	7.0	2.73	3
8	1,3,1,3,3,3,3	103	86.0	0.828	196.1	19.1	4.5	3
4	1,3,3	1434	8.3	0.8	17.7	1.6	5.19	3
5	1,3,3,1	268	2.3	0.778	6.3	8.3	0.28	1
6	1,3,3,1,3	199	9.7	0.831	22.7	2.3	4.22	3
7	1,3,3,1,3,3	148	35.1	0.827	59.4	9.7	3.62	3
8	1,3,3,1,3,3,3	109	84.3	0.862	154.5	35.1	2.4	3
5	1,3,3,3	1095	32.9	0.833	64.4	8.3	3.96	3
6	1,3,3,3,1	181	2.8	0.883	3.7	32.9	0.09	1
7	1,3,3,3,1,3	127	27.3	0.935	16.6	2.8	9.75	3
8	1,3,3,3,1,3,3	109	47.1	0.918	48.9	27.3	1.73	3
6	1,3,3,3,3	731	108.0	0.883	130.5	32.9	3.28	3
7	1,3,3,3,3,1	106	6.3	0.863	13.2	108.0	0.06	1
7	1,3,3,3,3,3	213	124.0	0.928	74.7	108.0	1.15	3
2	2	217	2.6	0.875	2.5	0.0	inf	2
3	2,3	144	15.8	0.947	8.7	2.6	6.08	3
4	2,3,3	113	75.8	0.95	29.8	15.8	4.8	3
2	3	1997	7.1	0.935	3.5	0.0	inf	3
3	3,1	131	1.3	0.86	2.2	7.1	0.18	1
3	3,3	1721	41.8	0.964	11.0	7.1	5.89	3
4	3,3,3	1456	119.2	0.958	39.6	41.8	2.85	3
5	3,3,3,3	1111	180.7	0.916	112.9	119.2	1.52	3
6	3,3,3,3,3	618	390.0	0.95	205.5	180.7	2.16	3
7	3,3,3,3,3,3	118	397.9	0.972	43.3	390.0	1.02	3
2	4	196	146.8	0.984	19.2	0.0	inf	4
3	4,3	146	369.7	0.989	57.5	146.8	2.52	3
4	4,3,3	123	751.3	0.98	161.4	369.7	2.03	3
