r_history	delta_t	y	y
		mean	count
1	1	0.6432220039292731	2545
1	2	0.5970149253731343	268
1	3	0.6122448979591837	343
1	4	0.6434782608695652	115
1	5	0.40298507462686567	67
1	7	0.36585365853658536	41
2	1	0.8857142857142857	105
2	2	0.9333333333333333	15
2	3	0.875	8
2	4	0.9166666666666666	12
2	8	0.82	50
2	10	0.9230769230769231	13
2	12	0.8571428571428571	14
3	1	0.9482551143200962	831
3	2	0.97	100
3	4	0.9807692307692307	52
3	5	0.9591836734693877	147
3	6	0.9615384615384616	104
3	7	0.9078947368421053	76
3	9	0.8994197292069632	517
3	10	0.9058823529411765	170
4	3	1.0	6
4	4	1.0	6
4	5	1.0	7
4	13	1.0	11
4	14	1.0	31
4	15	1.0	6
4	16	1.0	13
4	18	1.0	31
4	19	0.9791666666666666	48
4	20	1.0	8
4	21	1.0	15
4	115	0.875	8
4	116	1.0	6
