card_id	review_time	review_rating	review_state	review_duration	review_date	real_days	delta_t	i	t_history	r_history	y
1000220.0	-2147483648	1	1.0	5.0	2023-10-30 22:00:04+01:00	2460247.5	0	1			0
1000220.0	-2147483648	3	1.0	5.0	2023-11-03 01:49:43+01:00	2460251.5	4	2	0	1	1
1000220.0	-2147483648	3	1.0	5.0	2023-11-15 00:17:36+01:00	2460262.5	11	3	0,4	1,3	1
1000225.0	-2147483648	1	1.0	5.0	2023-10-26 00:56:45+02:00	2460242.5	0	1			0
1000225.0	-2147483648	3	1.0	5.0	2023-10-26 01:03:36+02:00	2460243.5	1	2	0	1	1
1000225.0	-2147483648	1	1.0	5.0	2023-10-28 23:49:11+02:00	2460245.5	2	3	0,1	1,3	0
1000225.0	-2147483648	3	1.0	5.0	2023-10-29 02:54:01+02:00	2460246.5	1	4	0,1,2	1,3,1	1
1000225.0	-2147483648	1	1.0	5.0	2023-11-03 02:01:26+01:00	2460251.5	5	5	0,1,2,1	1,3,1,3	0
1000225.0	-2147483648	1	1.0	5.0	2023-11-30 13:30:06+01:00	2460278.5	27	6	0,1,2,1,5	1,3,1,3,1	0
1000225.0	-2147483648	3	1.0	5.0	2023-12-02 01:46:00+01:00	2460280.5	2	7	0,1,2,1,5,27	1,3,1,3,1,1	1
1000225.0	-2147483648	1	1.0	5.0	2023-12-05 10:45:36+01:00	2460283.5	3	8	0,1,2,1,5,27,2	1,3,1,3,1,1,3	0
1000390.0	-2147483648	1	1.0	5.0	2022-09-14 00:07:20+02:00	2459835.5	0	1			0
1000390.0	-2147483648	3	1.0	5.0	2022-09-14 07:47:46+02:00	2459836.5	1	2	0	1	1
1000390.0	-2147483648	3	1.0	5.0	2022-09-15 12:03:05+02:00	2459837.5	1	3	0,1	1,3	1
1000390.0	-2147483648	3	1.0	5.0	2022-09-20 17:42:13+02:00	2459842.5	5	4	0,1,1	1,3,3	1
1000390.0	-2147483648	3	1.0	5.0	2022-09-21 07:45:16+02:00	2459843.5	1	5	0,1,1,5	1,3,3,3	1
1000390.0	-2147483648	3	1.0	5.0	2022-09-27 00:42:34+02:00	2459848.5	5	6	0,1,1,5,1	1,3,3,3,3	1
1000390.0	-2147483648	3	1.0	5.0	2022-10-11 12:21:40+02:00	2459863.5	15	7	0,1,1,5,1,5	1,3,3,3,3,3	1
1000390.0	-2147483648	3	1.0	5.0	2022-11-19 13:17:24+01:00	2459902.5	39	8	0,1,1,5,1,5,15	1,3,3,3,3,3,3	1
1000390.0	-2147483648	3	1.0	5.0	2023-02-10 00:34:45+01:00	2459984.5	82	9	0,1,1,5,1,5,15,39	1,3,3,3,3,3,3,3	1
1000390.0	-2147483648	3	1.0	5.0	2023-08-06 11:34:43+02:00	2460162.5	178	10	0,1,1,5,1,5,15,39,82	1,3,3,3,3,3,3,3,3	1
1000440.0	-2147483648	4	1.0	5.0	2022-07-29 19:07:06+02:00	2459789.5	0	1			1
1000620.0	-2147483648	4	1.0	5.0	2022-07-30 18:50:07+02:00	2459790.5	0	1			1
1000620.0	-2147483648	3	1.0	5.0	2022-08-12 23:27:52+02:00	2459803.5	13	2	0	4	1
1000660.0	-2147483648	1	1.0	5.0	2022-09-05 01:41:46+02:00	2459827.5	0	1			0
1000660.0	-2147483648	3	1.0	5.0	2022-09-06 08:18:09+02:00	2459828.5	1	2	0	1	1
1000660.0	-2147483648	3	1.0	5.0	2022-09-08 11:50:22+02:00	2459830.5	2	3	0,1	1,3	1
1000660.0	-2147483648	3	1.0	5.0	2022-09-16 00:16:39+02:00	2459837.5	7	4	0,1,2	1,3,3	1
1000660.0	-2147483648	1	1.0	5.0	2022-09-19 19:06:38+02:00	2459841.5	4	5	0,1,2,7	1,3,3,3	0
1000660.0	-2147483648	3	1.0	5.0	2022-09-25 21:38:12+02:00	2459847.5	6	6	0,1,2,7,4	1,3,3,3,1	1
1000660.0	-2147483648	3	1.0	5.0	2022-10-10 01:04:33+02:00	2459862.5	15	7	0,1,2,7,4,6	1,3,3,3,1,3	1
1000660.0	-2147483648	1	1.0	5.0	2022-11-19 23:37:47+01:00	2459902.5	40	8	0,1,2,7,4,6,15	1,3,3,3,1,3,3	0
1000660.0	-2147483648	3	1.0	5.0	2022-11-27 02:01:53+01:00	2459910.5	8	9	0,1,2,7,4,6,15,40	1,3,3,3,1,3,3,1	1
1000660.0	-2147483648	1	1.0	5.0	2022-12-12 19:37:07+01:00	2459925.5	15	10	0,1,2,7,4,6,15,40,8	1,3,3,3,1,3,3,1,3	0
1000660.0	-2147483648	3	1.0	5.0	2022-12-13 01:58:26+01:00	2459926.5	1	11	0,1,2,7,4,6,15,40,8,15	1,3,3,3,1,3,3,1,3,1	1
