r_history	delta_t	y	y
		mean	count
1	1	0.6316894018887723	953
1	2	0.564625850340136	294
1	3	0.6926070038910506	257
1	4	0.5909090909090909	132
1	5	0.5423728813559322	59
1	6	0.5	38
2	1	0.8235294117647058	17
2	7	0.8	10
2	8	0.8571428571428571	35
2	9	1.0	6
2	10	0.8888888888888888	9
2	12	0.9230769230769231	13
3	5	0.9550561797752809	89
3	7	0.9464285714285714	56
3	8	0.831858407079646	113
3	9	0.8955916473317865	431
3	10	0.9324324324324325	148
3	11	0.9629629629629629	27
4	13	1.0	4
4	14	1.0	18
4	15	1.0	5
4	16	1.0	6
4	18	0.9736842105263158	38
4	19	1.0	32
4	20	1.0	15
4	21	1.0	6
4	22	1.0	11
