i	r_history	group_cnt	stability	avg_retention	avg_interval	last_stability	factor	last_recall
2	1	1733	0.4	0.629	1.3	0.0	inf	1
3	1,1	654	0.6	0.569	2.8	0.4	1.5	1
4	1,1,1	290	0.8	0.591	3.8	0.6	1.33	1
5	1,1,1,1	125	0.9	0.608	3.0	0.8	1.12	1
5	1,1,1,3	137	2.2	0.656	9.4	0.8	2.75	3
4	1,1,3	330	2.5	0.658	8.0	0.6	4.17	3
5	1,1,3,1	117	3.1	0.826	4.1	2.5	1.24	1
5	1,1,3,3	186	5.6	0.665	23.0	2.5	2.24	3
3	1,3	981	2.8	0.764	5.1	0.4	7.0	3
4	1,3,1	236	1.9	0.813	4.0	2.8	0.68	1
5	1,3,1,3	164	4.8	0.772	11.1	1.9	2.53	3
6	1,3,1,3,3	104	9.2	0.754	29.6	4.8	1.92	3
4	1,3,3	654	12.0	0.833	17.0	2.8	4.29	3
5	1,3,3,1	121	3.0	0.741	4.9	12.0	0.25	1
5	1,3,3,3	448	28.5	0.817	53.8	12.0	2.38	3
6	1,3,3,3,3	238	54.4	0.876	125.0	28.5	1.91	3
2	3	864	8.8	0.898	8.9	0.0	inf	3
3	3,3	717	47.6	0.936	30.2	8.8	5.41	3
4	3,3,3	581	214.8	0.953	100.1	47.6	4.51	3
5	3,3,3,3	105	155.1	0.933	231.6	214.8	0.72	3
2	4	135	111.3	0.983	18.2	0.0	inf	4
3	4,3	108	726.5	0.99	68.2	111.3	6.53	3
